,batting_average,batting_strike_rate,bowling_average,catches,economy,fifties,fours,fourw_haul,highest,hundreds,innings,matches,notout,player_id,player_name,player_nationality,runouts,runs,season,sixes,stumping,wickets
71,68.00,107.93,0,2,0,0,2,0,46*,0,3,7,2,16,Wriddhiman Saha,Indian,1,68,2011,4,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Ben Hilfenhaus,Australian,0,0,2011,0,0,0
73,0,0.00,19.35,4,7.00,0,0,0,0*,0,1,13,1,18,Doug Bollinger,Australian,0,0,2011,0,0,17
74,0,0,0,0,0,0,0,0,0,0,0,0,0,19,George Bailey,Australian,0,0,2011,0,0,0
75,41.00,118.84,0,7,0,4,53,0,83*,0,14,14,2,20,Michael Hussey,Australian,0,492,2011,6,0,0
76,43.00,149.75,0,2,0,3,53,0,100*,1,16,16,2,100,Ambati Rayudu,Indian,1,602,2018,34,0,0
77,9.66,80.55,38.57,4,8.48,0,3,0,19,0,3,13,0,103,Harbhajan Singh,Indian,0,29,2018,1,0,7
78,0,109.09,0,0,0,0,1,0,24*,0,1,1,1,297,Kedar Jadhav,Indian,0,24,2018,2,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,Mitchell Santner,New Zealander,0,0,2018,0,0,0
80,1.00,33.33,0,1,12.25,0,0,0,1,0,1,1,0,2749,Mark Wood,English,0,1,2018,0,0,0
81,0,0,29.00,0,9.66,0,0,0,0*,0,0,1,0,748,John Hastings,Australian,0,0,2014,0,0,1
82,40.23,146.08,134.00,11,7.44,5,51,0,87,0,16,16,3,14,Suresh Raina,Indian,1,523,2014,19,0,1
83,0,0,48.50,0,6.92,0,0,0,0*,0,0,4,0,590,Samuel Badree,West Indian,0,0,2014,0,0,2
84,0,0,30.75,1,8.78,0,0,0,0*,0,1,8,1,17,Ben Hilfenhaus,Australian,0,0,2014,0,0,8
85,6.00,120.00,30.85,5,6.56,0,2,0,8,0,5,19,2,8,Ravichandran Ashwin,Indian,1,18,2012,0,0,14
86,15.91,126.49,22.75,2,7.80,0,13,0,48,0,14,19,2,9,Ravindra Jadeja,Indian,3,191,2012,9,0,12
87,0,58.33,37.22,4,8.17,0,0,0,6*,0,2,15,2,10,Shadab Jakati,Indian,0,7,2012,0,0,9
88,0,271.42,0,0,0,0,1,0,18*,0,2,4,2,11,Srikkanth Anirudha,Indian,0,19,2012,2,0,0
89,2.00,50.00,37.16,2,7.68,0,0,0,2,0,1,8,0,21,Suraj Randiv,Sri Lankan,1,2,2011,0,0,6
90,0,250.00,0,1,13.00,0,1,0,5*,0,1,2,1,22,Scott Styris,New Zealander,1,5,2011,0,0,0
